Key,English,ChineseSimplified,ChineseTraditional,Spanish,French,Russian,Portuguese,Japanese,Korean
MetaWorld,MetaWorld,MetaWorld,,,,,,MetaWorld,MetaWorld
There Is No Tomorrow,There Is No Tomorrow,There Is No Tomorrow,,,,,,There Is No Tomorrow,There Is No Tomorrow
社交,Social,社交,,,,,,社会的接触,사회적 접촉
*o*( 我要开始表演了~,*o* (I'm going to start the show!),*o*( 我要开始表演了~,,,,,,*o*( ショーを始めます。,*오*( 쇼를 시작하겠습니다.
我要开始表演了我要开始表演了,I'm gonna start. I'm gonna start.,我要开始表演了我要开始表演了,,,,,,ショーを始めるよ。,쇼를 시작할게요 쇼를 시작할게요
凶手,Murderer,凶手,,,,,,殺人者,살인자
GM,GM,GM,,,,,,GM,GM
Button,Button,Button,,,,,,Button,Button
Loading...,Loading...,Loading...,,,,,,Loading...,Loading...
Double-双人,Double - Double,Double-双人,,,,,,ダブル・ダブル,더블-더블
Social-社交,Social-Social,Social-社交,,,,,,ソーシャル-ソーシャル,소셜-소셜
Dance-舞蹈,Dance - Dance,Dance-舞蹈,,,,,,ダンス,댄스 - 댄스
Pose-拍照,Pose - Photo,Pose-拍照,,,,,,ポーズ写真,포즈-사진
Other-其他,Other - Other,Other-其他,,,,,,その他 - その他,기타 - 기타
托举,Lift,托举,,,,,,持ち上げる,리프팅
肩抗,Shoulder Resistance,肩抗,,,,,,肩の抵抗,어깨 저항
拖,Drag,拖,,,,,,ドラッグ,견인
公主抱,Princess Carry,公主抱,,,,,,お姫様抱っこ,공주 포옹
背,Carry,背,,,,,,背,뒤쪽에
拉丁,Latin,拉丁,,,,,,ラテン,라틴어
现代03,Modern 03,现代03,,,,,,モダン03,현대 03
爵士,Sir,爵士,,,,,,爵士,재즈
现代02,Modern 02,现代02,,,,,,モダン02,현대 02
告别,Bid farewell,告别,,,,,,別れを告げる,작별 인사를 하다
鼓掌,Applause,鼓掌,,,,,,拍手する,박수를 보내다
行礼,Salute,行礼,,,,,,敬礼,경례
喝彩,Cheers,喝彩,,,,,,乾杯,건배
欢呼,Cheers,欢呼,,,,,,乾杯,환호
加油,Come On,加油,,,,,,来て,어서 해봐요
开心跺脚,Happy Stomp,开心跺脚,,,,,,楽しそうに足を踏み鳴らしている,즐겁게 발을 구르며
高举击掌,High Five,高举击掌,,,,,,ハイタッチ,하이파이브
耍帅,Play Cool,耍帅,,,,,,クールに振る舞う,쿨하게 행동해
后空翻,Backflip,后空翻,,,,,,バックフリップ,공중제비
拒绝,Reject,拒绝,,,,,,拒否する,거부하다
不服气,Unconvinced,不服气,,,,,,納得できない,확신하지 못함
挑衅,Provocation,挑衅,,,,,,挑発的な,성나게 하는
嘲讽,Taunt,嘲讽,,,,,,嘲笑する,조소
出拳,Punch,出拳,,,,,,パンチ,펀치
大脚踹,Big Tread,大脚踹,,,,,,ビッグキック,큰 킥
鞠躬,Bow,鞠躬,,,,,,弓,절하다
跪拜,Kneel Down,跪拜,,,,,,お辞儀をする,절하다
俯首跪姿,Kneel Down,俯首跪姿,,,,,,お辞儀とひざまずく,절하고 무릎을 꿇고
害羞捂脸,Shy Face,害羞捂脸,,,,,,恥ずかしくて顔を覆う,부끄러워서 얼굴을 가린 채
比心,Heart Pose,比心,,,,,,比較,비교
飞吻,Kiss,飞吻,,,,,,投げキッスをする,키스를 날리다
亲吻,Kiss,亲吻,,,,,,キス,키스
牵手吻,Hold Hands,牵手吻,,,,,,手を繋いでキスをする,손을 잡고 키스하는 모습
单膝跪地,Get down on one knee.,单膝跪地,,,,,,片膝をつきます,한쪽 무릎을 꿇고
生气,Angry,生气,,,,,,怒り,화난
失望,Disappointed,失望,,,,,,失望,실망
哭泣,Weeping,哭泣,,,,,,泣く,울다
科目三,Topic Three,科目三,,,,,,科目三,주제 3
霹雳舞,Breakdance,霹雳舞,,,,,,ブレイクダンス,브레이크 댄스
一分一秒,"Minute, Minute, Second",一分一秒,,,,,,一分一秒,1분 1초
外星人,Alien,外星人,,,,,,エイリアン,외계인
恋爱,In Love,恋爱,,,,,,恋愛中,사랑에 빠졌다
小熊跳舞,Bear Dances,小熊跳舞,,,,,,踊るクマ,춤추는 곰
爱杀宝贝,Love to Kill,爱杀宝贝,,,,,,赤ちゃんを殺すのが大好き,아기를 죽이고 싶어
怦然心动,Radiant Heart,怦然心动,,,,,,鼓動する心臓,뛰는 심장
今天我们开始,We start today.,今天我们开始,,,,,,今日から始めます,오늘 우리는 시작합니다
和我交往吗,Are you going out with me?,和我交往吗,,,,,,私とデートしてくれませんか？,나랑 데이트할래?
